Record,Record.Cathy,Group,Participant,Habitat,Revised.Habitat,Biome1,Biome2,Importance,Why.important...ECOSYSTEM.SERVICE,Habitat.area,Habitat.condition,Mammals,Birds,Reptiles.amphibians,Fish,Invertebrates,Trees,Other.plants,Fungi,Other,Soil.fertility,Soil.intacteness,Water.quantity,Water.quality,Why.changed.habitat...DRIVER,Habitat.area.will,Habitat.condition.will,Measures.needed,Action.and.by.whom,Comments,ES.HAB,ES.POL,ES.AIR,ES.CLI,ES.OCE,ES.WQN,ES.WQL,ES.SOL,ES.HAZ,ES.PST,ES.NRG,ES.FOD,ES.MAT,ES.MED,ES.LRN,ES.EXP,ES.IDE,ES.OPT,ES.WEB,ES.LIV,DIR.ACT,DIR.CC,DIR.IAS,DIR.LUC,DIR.OVR,DIR.POL,IND.CLT,IND.DEM,IND.ECO,IND.GVN,IND.LUC,IND.S.T,ACT.LAND,ACT.SPEC,ACT.AWAR,ACT.ENFORC,ACT.ECON,ACT.PROTECT,ACT.LAWPOL,ACT.RSRCH,ACT.EDUC,ACT.INST
1,76,Blue,2,Lowland Savannah,Savannah - Lowland,Grassland,Grassland,High,"Development, they live in the areas, plantation and farm lands",Decreased,Deteriorated,No answer,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,NA,Decrease,Deteriorate,Yes,Use of manure (both compost and animal); educate communities on conservation and afforestation,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
2,77,Blue,2,Higland natural forest,Forest - Montane,Forest,Forest,High,"Forex from tourism, source of rainfall; natural remedies; energy source",Decreased,Deteriorated,Less,Less,Less,No answer,No answer,Less,No answer,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Deforestation; climate change; entrance of domesticated animals in te natural forest,Decrease,Deteriorate,Yes,Educate nearby citizens on climate change and deforestation; Law enforcement governing forests,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,78,Blue,2,Highland Chagga home gardens,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Development; where citizens live and source of livelihood,Decreased,Deteriorated,No answer,Less,No answer,Less,No answer,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Population growth  which has caused increased deforestation and increased livestock; climate change which is more witnessed in changes in wind direction and agricultural seasons change,Decrease,Deteriorate,Yes,Human and livestock population control; enact laws governing forest harvest; include strict regulations; educate locals on climate change and natural resources management,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0
4,79,Blue,28,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Important for everyday life,Decreased,Deteriorated,Less,More,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Environmental degradation; population growth; use of pestcides;  decreased rain season; increased livestock population,Decrease,Deteriorate,Yes,Use of efficient stoves; Subsdize gas prices to help reduce pressure in the forest; find other altenative areas for living; afforestation; advocate improved livestock keeping; reduce use of pestcides; conservation agriculture,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0
5,80,Blue,28,Forests,Forest - Montane,Forest,Forest,No answer,Weather stabilization; attract rainfall; source of timber and firewood,Decreased,Deteriorated,Less,Less,Less,Less,More,Less,Less,Less,Less,Deteriorated,Deteriorated,Increased,Deteriorated,Improved natural forest conservation; increased rains,Decrease,Deteriorate,Yes,Improve forest protection; provide education on how to improve forests; stop unplanned tree cutting,NA,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6,81,Blue,28,Crop land,Agriculture - Cropland,Agriculture,Agriculture,No answer,Source of food and income,Not changed,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Population growth; use of pestcides; decreased soil fertility,Decrease,Deteriorate,Yes,Use of traditional manures; reduce number of livestock; profitable agriculture; education on modern agriculture; advocate mixed agriculture; promote beekeeping,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0
7,82,Blue,32,Highland Chagga home gardens,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,I live there; agricultural activities,Increased,Improved,No answer,More,No answer,No answer,More,No answer,No answer,Less,No answer,No answer,Deteriorated,Decreased,Improved,After people have been educated on environmental conservation and afforestaion efforts,Increase,Deteriorate,Yes,More education is required; frequent seminars to various leaders,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,83,Blue,40,Forests zone,Forest - montane,Forest,Forest,High,gets various services from forest,Increased,Improved,No change,Less,More,Less,No answer,More,More,No answer,No answer,Improved,Improved,Increased,Not changed,"Natural forest is in good status, well improved and rains have increased",Decrease,Deteriorate,Yes,Continue educating people; strengthern protection,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,84,Blue,40,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,Low,Vihamba have remained very little that they are not enough,Decreased,Deteriorated,More,More,Less,No answer,More,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Increased,Not changed,Water quality is poor as its not treated,Decrease,Deteriorate,Yes,Education,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,85,Blue,49,Lowlands,Agriculture - Cropland,Agriculture,Agriculture,Low,"The areas are important for crop cultivation where maize, beans and tomatoes are most productive; the areas have moderate areas",Increased,Not changed,No answer,Less,Less,No answer,No answer,No answer,No answer,No answer,No answer,Not changed,Not changed,Decreased,Not changed,No enough rains,Decrease,Deteriorate,Yes,Increased knowledge on environmental conservation in the areas,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
